text,label,lang,aspect
"net practice ke doran net mein itne chhed the ke ball baar baar bahar nikal jati thi",negative,ru,facilities
"advance jama karwaya lekin pohanchne pe ground kisi aur team ko de rakha tha",negative,ru,booking
"cricket pitch pe bounce bilkul uneven tha ek ball ruk ke aati doosri tez nikalti",negative,ru,ground
"owner ne aakhri waqt pe rate barha diya keh weekend hai isliye extra dena parega",negative,mixed,price
"the astro turf near the corner had worn right down to the rubber backing",negative,en,ground
"indoor court ka wooden floor itna phislan bhara tha ke do bande gir gaye",negative,mixed,ground
"poora match lights ki flickering ne kharab kiya aankhein dukhne lag gayin",negative,mixed,lights
"they kept promising the refund would come but stopped replying the moment I paid",negative,en,refund
"gym ki aadhi machines kharab thin aur koi trainer bhi mojood nahi tha",negative,mixed,facilities
"slot aath baje ka tha magar pichli team saava aath tak khelti rahi",negative,ru,booking
"shuttlecock rent pe diye lekin sab phate hue the ek rally bhi nahi nikli",negative,ru,facilities
"the AC in the indoor futsal hall barely worked and it was like an oven inside",negative,en,facilities
"pool ka pani itna gandla tha ke neeche tak kuch nazar nahi aa raha tha",negative,ru,facilities
"maine reschedule ki request bheji par unhone bina bataye slot cancel kar diya",negative,mixed,booking
"the goalposts wobbled every time the ball hit them, felt genuinely unsafe",negative,en,ground
"canteen band tha aur bahar se pani laane ki bhi ijazat nahi thi",negative,ru,facilities
"cash only lete hain online payment ka koi option hi nahi hai yahan",negative,mixed,booking
"the referee they provided clearly favoured the home side the entire game",negative,en,staff
"badminton court ki net itni dheeli thi ke har serve net mein atak jati thi",negative,ru,ground
"booking confirm dikhaya app ne phir bhi ground pe mera naam list mein nahi tha",negative,mixed,booking
"parking valet ne gaari ko scratch laga di aur owner ne zimmedari nahi li",negative,ru,facilities
"the changing room lockers had no working locks so we kept our bags pitchside",negative,en,facilities
"turf watering itni zyada ki gayi thi ke pehle das minute keechad mein khele",negative,mixed,ground
"raat ko sirf aadhi floodlights on kin taake bijli bacha sakein, match spoil",negative,mixed,lights
"they charged a two thousand deposit for a bat and then deducted it for a tiny scratch",negative,en,price
"squash court ki deewar se paint ukhad rahi thi aur ball ka nishaan nahi dikhta tha",negative,ru,ground
"owner phone pe bohat meetha bola but pohanchne pe bilkul badtameez nikla",negative,mixed,owner
"the online slot timer ran out mid payment and it charged me for the wrong hour",negative,en,booking
"first aid box khaali para tha jab ek larke ko choat lagi",negative,ru,facilities
"weekend surcharge kahin mention nahi tha bill dekh ke pata chala",negative,mixed,price
"the pool had no lifeguard on duty despite the sign saying one was mandatory",negative,en,staff
"jitni der khela utni der music itna tez tha ke apni awaaz sunai nahi de rahi thi",negative,ru,facilities
"bibs itne gande the ke pehen ne se pehle jhaadna para",negative,mixed,facilities
"they double charged my card and the owner insisted it was the app's fault not his",negative,en,price
"table tennis ki table pe daraar thi jahan se ball ka rukh badal jata tha",negative,ru,ground
"ground tak jaane wali gali itni tang thi ke gaari mushkil se nikli",negative,mixed,location
"the drinking water cooler was empty and the tap water tasted of rust",negative,en,facilities
"cricket net ki roshni itni kam thi ke tez gaind bilkul late dikhti thi",negative,ru,lights
"unhone group discount ka wada kiya tha lekin bill pe poora rate laga diya",negative,mixed,price
"the reminder notification never came so we missed our slot and lost the money",negative,en,booking
"volleyball net ki height galat set thi aur staff ne theek karne se mana kar diya",negative,ru,ground
"barish ki wajah se cancel kiya to owner ne refund dene se saaf inkaar kar diya",negative,mixed,refund
"the synthetic court smelled strongly of chemicals, gave half of us a headache",negative,en,facilities
"gate pe QR scanner kaam nahi kar raha tha aur guard ne andar aane nahi diya",negative,ru,booking
"they hosted two teams on adjacent slots with no buffer so we started fifteen late",negative,en,booking
"pool ka chlorine itna tez tha ke aankhein poori raat jalti rahin",negative,ru,facilities
"owner ne deposit rakh li aur wapas maangne pe har baar kal aana keh dete rahe",negative,mixed,refund
"the spectator seating was three broken plastic chairs for a full ground",negative,en,facilities
"maidan ke aik kone mein tanki ka pani beh raha tha khelna namumkin",negative,ru,ground
"the staff were too busy on their phones to unlock the second court for us",negative,en,staff
"bila wajah entry fee alag se maang li jabke slot ka paisa pehle de chuke the",negative,mixed,price
"the badminton hall roof leaked and the shuttle kept landing in a wet patch",negative,en,facilities
"raat gyara baje slot khatam hone se pehle hi lights band kar di gayin",negative,ru,lights
"CCTV toh laga tha par jab bag chori hua footage available hi nahi tha",negative,mixed,facilities
"the padel court glass was so smudged you could barely track the ball off the wall",negative,en,ground
"coach late aaya aadha session waise hi zaya ho gaya paisay poore liye",negative,mixed,staff
"tennis court ki lines itni faded thin ke in aur out ka jhagra hota raha",negative,ru,ground
"they cancelled on me an hour before and offered no alternate slot at all",negative,en,booking
"washroom ka darwaza tuta hua tha aur andar light bhi nahi jal rahi thi",negative,ru,facilities
"changing area itna chhota tha ke ek team ko bahar hi kapde badalne pare",negative,mixed,facilities
"the app let me book a slot that was already taken then blamed me for showing up",negative,en,booking
"ground standard hai na khaas acha na bura is ilaqe ke baaki jaisa hi",neutral,ru,overall
"they take cash and easypaisa both, whichever suits you on the day",neutral,en,booking
"pitch matches most local grounds, fine for a casual game nothing more",neutral,mixed,ground
"slot ka rate ghante ka pandra sau hai jo yahan ka aam rate hai",neutral,ru,price
"the court is indoors so weather is never a factor either way",neutral,en,facilities
"lights sirf shaam ke baad on hoti hain din mein natural roshni kaafi hoti hai",neutral,mixed,lights
"it is a mid sized futsal court, good for five a side not much beyond that",neutral,en,ground
"booking phone pe bhi hoti hai aur app pe bhi dono chalte hain",neutral,mixed,booking
"parking hai lekin limited hai jaldi aao to jagah mil jati hai",neutral,ru,facilities
"the place opens at six in the morning and runs till midnight",neutral,en,booking
"ground grass wala hai turf nahi jise jo pasand ho",neutral,mixed,ground
"owner zyada baat nahi karta apne kaam se kaam rakhta hai",neutral,ru,owner
"the pool is standard length, fine for laps if that is all you need",neutral,en,facilities
"do court hain aik chhota aik bara apni zaroorat ke hisaab se le lo",neutral,mixed,ground
"washroom hai facility basic hai zyada expect mat karo",neutral,ru,facilities
"the rate is the same on weekdays and weekends, no surge either way",neutral,en,price
"jagah main road se thodi andar hai lekin milna mushkil nahi",neutral,mixed,location
"they provide bibs and a ball, bring your own shoes though",neutral,en,facilities
"court ka floor cement ka hai kuch log pasand karte kuch nahi",neutral,ru,ground
"the booking gets confirmed by a text, nothing fancy but it works",neutral,en,booking
"snooker table theek haalat mein hai club level ka nahi lekin chal jata hai",neutral,mixed,ground
"yahan coaching bhi milti hai aur casual booking bhi dono option hain",neutral,ru,booking
"it is neither the cheapest nor the priciest ground in the area",neutral,en,price
"ground ke saath aik chhoti canteen hai chai pani mil jata hai",neutral,mixed,facilities
"the lights are adequate, not stadium bright but enough for a night game",neutral,en,lights
"slot ek ghante ka milta hai barhana ho to pehle bata dena parta hai",neutral,ru,booking
