text,label,lang,aspect
"The futsal turf was freshly laid and had a proper bounce, loved playing on it",positive,en,ground
"owner bohat cooperative tha, aakhri waqt pe slot change kar diya bina extra charge",positive,ru,owner
"floodlights ekdum bright thin, raat ke match ka maza double ho gaya",positive,mixed,lights
"Booking through the app took less than a minute, super smooth",positive,en,booking
"ground theek tha lekin staff ka rawaiya kaafi rude tha",negative,mixed,staff
"washroom itna ganda tha ke andar jaana mushkil ho gaya",negative,ru,facilities
"Average venue overall, nothing amazing but gets the job done",neutral,en,overall
"slot 7 baje ka tha aur 7 baje hi mil gaya, koi issue nahi",neutral,mixed,booking
"They charged the full amount first and then cancelled my slot, worst experience",negative,en,owner
"ghaas ekdum kati hui aur saaf thi, dekh kar hi khelne ka dil kiya",positive,ru,ground
"parking ki koi jagah nahi thi, gaari door khari karni pari",negative,mixed,facilities
"location ghar se thodi door hai but reach karna asaan hai",neutral,mixed,location
"Refund came through in two days without any argument, appreciated",positive,en,refund
"lights aadhi band thin, ball raat ko nazar hi nahi aati thi",negative,ru,lights
"price baaki grounds jaisa hi hai, na zyada na kam",neutral,mixed,price
"The changing room was clean and actually had working showers",positive,en,facilities
"owner ne phone tak nahi uthaya jab slot ka poochna tha",negative,ru,owner
"Decent ground but the markings were half faded, hard to tell the lines",negative,en,ground
"staff bohat helpful the, samaan bhi safely rakhwa diya",positive,mixed,staff
"booking confirm hone ka message hi nahi aaya, tension ho gayi",negative,mixed,booking
"It's an okay place for a casual game, don't expect anything fancy",neutral,en,overall
"turf pe jagah jagah se rubber crumb urra hua tha",negative,ru,ground
"raat ko lights itni tez thin ke din jaisa lag raha tha, zabardast",positive,mixed,lights
"Price is a bit on the higher side for a 60 minute slot",negative,en,price
"refund policy clear likhi hui hai website pe, achi baat hai",positive,mixed,refund
"maidan ka size theek hai, 7 a side ke liye kaafi hai",neutral,ru,ground
"The owner was polite and even gave us ten extra minutes for free",positive,en,owner
"washrooms mein pani nahi aa raha tha bilkul",negative,mixed,facilities
"Nothing wrong with the place, just very ordinary",neutral,en,overall
"ground geela tha barish ke baad, khelna mushkil tha",negative,mixed,ground
"slot milna asaan tha weekdays pe, weekend pe rush hota hai",neutral,mixed,booking
"Absolutely loved the vibe, floodlights and turf both top class",positive,en,overall
"owner har baat pe extra paise maang raha tha",negative,ru,owner
"App crashed twice while I was trying to pay for the slot",negative,en,booking
"jagah saaf suthri thi, changing area bhi acha tha",positive,mixed,facilities
"lights toh theek thin par ek corner andhera tha",neutral,mixed,lights
"Great location, right next to the main road and easy to find",positive,en,location
"ghaas bohat lambi thi, ball ruk ruk ke ja rahi thi",negative,ru,ground
"refund ke liye teen din intezaar karwaya phir bhi adha mila",negative,mixed,refund
"The staff didn't bother helping when we asked about the timings",negative,en,staff
"price reasonable tha off peak hours mein",positive,mixed,price
"Turf quality is fine, could use a wash but playable",neutral,en,ground
"raat ke waqt parking bilkul safe nahi lagti yahan",negative,mixed,facilities
"booking process seedha tha, ek dam asaan",positive,ru,booking
"opponent team match karwa di app ne, achi facility hai",positive,mixed,opponent
"Lights flickered the whole game, really distracting",negative,en,lights
"maidan average hai, is ilaqe mein isse behtar bhi hain",neutral,ru,ground
"owner ne bohat izzat se pesh aaya, dubara zaroor aayenge",positive,ru,owner
"The refund never arrived even after a week of follow ups",negative,en,refund
"ground acha hai lekin door hai, ana jana mushkil",neutral,mixed,location
"washroom to saaf tha par shower ka pani thanda tha",neutral,mixed,facilities
"Booked easily, played happily, would come again for sure",positive,en,overall
"slot cancel karne pe poore paise kaat liye, bakwas",negative,mixed,refund
"price thoda zyada laga lekin ground us hisaab se acha tha",neutral,mixed,price
"The 5 a side pitch was tiny and cramped near the goals",negative,en,ground
"lights ki roshni kaafi thi puri field cover ho rahi thi",positive,mixed,lights
"staff was friendly and pointed us to the parking right away",positive,en,staff
"maine slot book kiya lekin pohanchne pe pata chala double booking ho gayi",negative,mixed,booking
"jagah dhoondhne mein dikkat hui, map sahi nahi tha",negative,mixed,location
"Solid ground for the price, honestly no complaints",positive,en,overall
"owner cooperative nahi tha, har cheez ka mana kar raha tha",negative,ru,owner
"neutral sa experience raha, na acha na bura",neutral,mixed,overall
"The washrooms were spotless, genuinely surprised",positive,en,facilities
"ground pe light kam thi ek side, doosri side theek",neutral,mixed,lights
"refund fatafat mil gaya cancel karte hi",positive,mixed,refund
"Terrible turf, my studs kept getting stuck in the loose bits",negative,en,ground
"booking ka confirmation email time pe aa gaya",positive,mixed,booking
"price standard hai, koi luteinwali baat nahi",neutral,ru,price
"They were rude on call but fine in person, mixed feelings",neutral,en,staff
"lights band ho gayi beech match mein, poora andhera",negative,mixed,lights
"paani ki bottle tak available thi ground pe, acha intezaam",positive,ru,facilities
"The pitch drains well, played right after rain with no issues",positive,en,ground
"owner se baat karke slot aage barha liya asaani se",positive,mixed,booking
"location prime hai lekin parking ka masla hai",neutral,mixed,location
"Charged extra for the lights which was never mentioned upfront",negative,en,price
"maidan mein keechar tha corner pe, phisalne ka dar tha",negative,ru,ground
"staff ne saman ka khayal rakha, tension free ho kar khela",positive,mixed,staff
"It was neither cheap nor expensive, just standard rates",neutral,en,price
"refund ka process itna lamba tha ke umeed hi chhor di",negative,mixed,refund
"floodlights new lag rahi thin, poori ground jagmaga rahi thi",positive,mixed,lights
"The booking slot overlapped with another team, awkward",negative,en,booking
"ground saaf tha par thoda chhota tha hamari team ke liye",neutral,mixed,ground
"owner bohat sakht tha timing ke maamle mein, ek minute late nahi chalta",negative,ru,owner
"Nice and simple, book, play, leave, no drama",positive,en,overall
"washroom door tha ground se, thoda pareshani hui",neutral,mixed,facilities
"price bohat wajib tha students ke liye discount bhi tha",positive,mixed,price
"The lights are strong enough for a proper night match",positive,en,lights
"slot dhoondne mein waqt laga app slow chal rahi thi",negative,mixed,booking
"jagah achi hai family ke saath aane layak",positive,ru,location
"Refund was partial with no clear reason given",negative,en,refund
"ground theek tha bas ghaas thodi zyada lambi thi",neutral,mixed,ground
"owner ne khud aa kar welcome kiya, bohat acha laga",positive,ru,owner
"The staff vanished when we needed help with the gate",negative,en,staff
"price peak time pe double ho jata hai jo theek nahi",negative,mixed,price
"maidan mein night match ka apna hi maza hai yahan",positive,ru,overall
"Booking got confirmed instantly, no waiting around",positive,en,booking
"lights toh thin par kuch bulbs fuse the",neutral,mixed,lights
"refund milna chahiye tha lekin owner mukar gaya",negative,ru,refund
"Good turf, fair price, friendly staff, what more do you want",positive,en,overall
"ground tak pohanchna asaan tha signboard laga hua tha",positive,mixed,location
"washroom use karne layak nahi tha bilkul",negative,ru,facilities
"The pitch was fine but the nets behind the goal were torn",neutral,en,ground
"owner ne advance to le liya par receipt nahi di",negative,mixed,owner
"price ki value hai, ground us hisaab se acha hai",positive,mixed,price
"Lights took forever to warm up, wasted ten minutes",negative,en,lights
"booking cancel ki to poore paise wapas mil gaye",positive,mixed,refund
"jagah ordinary si hai, khaas kuch nahi",neutral,ru,overall
"The changing rooms smelled bad and had no soap",negative,en,facilities
"staff bohat achi tarah pesh aaye, guide bhi kiya",positive,mixed,staff
"ground geela reh gaya tha subah ki barish se",negative,mixed,ground
"Price is fair for the quality you get here",positive,en,price
"lights ne night game ko din bana diya, mazedar",positive,mixed,lights
"slot book to ho gaya par time galat show ho raha tha",negative,mixed,booking
"owner theek tha, na bohat acha na bura",neutral,ru,owner
"The venue is central so it fills up fast on weekends",neutral,en,location
"washroom saaf tha aur pani bhi garam tha, comfort thi",positive,mixed,facilities
"refund policy hi nahi hai yahan, paisa doob gaya",negative,mixed,refund
