template_id,intent,lang,pattern,phenomena
book_venue-en-01,book_venue,en,book {venue} for {date} {polite},plain;imperative;multi_slot
book_venue-en-02,book_venue,en,{opener} reserve the {time} slot at {venue},imperative;multi_slot
book_venue-en-03,book_venue,en,i want to book {sport} {venue_word} in {area} for {duration},plain;multi_slot
book_venue-en-04,book_venue,en,can you confirm the booking for {venue} {polite},question;politeness
book_venue-en-05,book_venue,en,ok book it {polite},short;imperative
book_venue-en-06,book_venue,en,yes the {time} one {polite},short;ellipsis
book_venue-en-07,book_venue,en,"{team} is playing {date}, book {venue} {polite}",run_on;imperative;multi_slot
book_venue-mix-01,book_venue,mix,{opener} {venue} book kar dein for {duration},code_switch;multi_slot
book_venue-mix-02,book_venue,mix,"{time} ka slot book kar do, {team} ready hai {polite}",code_switch;run_on
book_venue-mix-03,book_venue,mix,"{area} wale {venue_word} pe {sport} khelna hai, book it {polite}",code_switch;multi_slot;run_on
book_venue-mix-04,book_venue,mix,{opener} chalo book it {polite},short;code_switch;imperative
book_venue-ru-01,book_venue,ru,{date} {venue} book kardo {polite},imperative;multi_slot
book_venue-ru-02,book_venue,ru,{time} ka slot chahiye {venue} me {polite},plain;multi_slot
book_venue-ru-03,book_venue,ru,{area} wale {sport} {venue_word} ki booking kar do,imperative;multi_slot
book_venue-ru-04,book_venue,ru,haan yehi wala book kardo {polite},short;ellipsis;imperative
book_venue-ru-05,book_venue,ru,{time} wala confirm kardo {polite},short;imperative
book_venue-ru-06,book_venue,ru,mujhe {date} booking karni hai {venue} me,plain;multi_slot
book_venue-ru-07,book_venue,ru,{count} bando ke liye {sport} {venue_word} book karna hai {date},multi_slot;numeric;slang
cancel_booking-en-01,cancel_booking,en,cancel my booking for {date} {polite},plain;imperative
cancel_booking-en-02,cancel_booking,en,{opener} i need to cancel the booking at {venue},plain
cancel_booking-en-03,cancel_booking,en,can you cancel the {time} slot for me {polite},question;politeness
cancel_booking-en-04,cancel_booking,en,"something came up, cancel the booking for {team} {polite}",run_on;imperative
cancel_booking-en-05,cancel_booking,en,cancel it {polite},short;imperative
cancel_booking-en-06,cancel_booking,en,delete the {venue_word} booking i made {polite},imperative;plain
cancel_booking-mix-01,cancel_booking,mix,"{venue} ki booking cancel kar do, we are shifting to another {venue_word}",code_switch;run_on
cancel_booking-mix-02,cancel_booking,mix,"sorry for the trouble, {time} wali booking cancel karwa dein {polite}",code_switch;politeness
cancel_booking-mix-03,cancel_booking,mix,"{team} ka match postpone ho gaya, booking cancel kardo {polite}",code_switch;run_on
cancel_booking-mix-04,cancel_booking,mix,"{opener} just cancel it, {sport} nahi khel rahe ab",code_switch;negation;short
cancel_booking-ru-01,cancel_booking,ru,{time} wali booking cancel kardo {polite},imperative;plain
cancel_booking-ru-02,cancel_booking,ru,{venue} ki booking cancel karni hai,plain
cancel_booking-ru-03,cancel_booking,ru,"{opener} plan change ho gaya, booking hata do",run_on;slang
cancel_booking-ru-04,cancel_booking,ru,"{date} nahi aa rahe hum, booking cancel kar dein {polite}",negation;run_on
cancel_booking-ru-05,cancel_booking,ru,mujhe ye booking nahi chahiay ab {polite},negation;indirect;short
cancel_booking-ru-06,cancel_booking,ru,{venue} me jo booking thi wo cancel kar dein {polite},plain;politeness
check_availability-en-01,check_availability,en,is {venue} free {date} {polite},question;multi_slot;boundary
check_availability-en-02,check_availability,en,show me the open slots for {date} {polite},imperative
check_availability-en-03,check_availability,en,what times are available at {venue} for {date},question;multi_slot
check_availability-en-04,check_availability,en,is {duration} still free at {venue} {date},question;multi_slot;numeric
check_availability-en-05,check_availability,en,anything free at {venue} {date} {polite},ellipsis;short
check_availability-en-06,check_availability,en,is there really nothing free {date} in {area},negation;question
check_availability-en-07,check_availability,en,is the {time} slot at {venue} still available or already taken,boundary;multi_slot;question
check_availability-mix-01,check_availability,mix,{venue} pe {time} ka slot available hai kya,code_switch;question;multi_slot
check_availability-mix-02,check_availability,mix,{date} kuch free hai {area} me,code_switch;multi_slot;boundary
check_availability-mix-03,check_availability,mix,koi slot bacha hai {date} at {venue},code_switch;question;multi_slot
check_availability-mix-04,check_availability,mix,{venue} fully booked hai {date} ya kuch khali hai,code_switch;negation;multi_slot
check_availability-ru-01,check_availability,ru,{venue} {date} khali hai kya {polite},question;multi_slot
check_availability-ru-02,check_availability,ru,{time} ka slot khali hai {venue} me,question;multi_slot
check_availability-ru-03,check_availability,ru,{date} khali slots dikhao {polite},imperative
check_availability-ru-04,check_availability,ru,{area} me {date} kuch khali hai ya sab book hai,negation;question;multi_slot;boundary
check_availability-ru-05,check_availability,ru,{date} koi slot khali hai {polite},ellipsis;short
check_availability-ru-06,check_availability,ru,{venue} pe {date} kuch nai mil raha koi aur time hai,negation;run_on;multi_slot
check_availability-ru-07,check_availability,ru,{venue} me {time} ka slot mil sakta hai {polite},boundary;question;multi_slot
create_team_help-en-01,create_team_help,en,how do i create a team on the app {polite},question;politeness
create_team_help-en-02,create_team_help,en,where do i get the invite link for {team},question
create_team_help-en-03,create_team_help,en,how many players do i need at minimum for a {sport} team,question;numeric
create_team_help-en-04,create_team_help,en,do all my players need to accept the invite before we can play,question
create_team_help-en-05,create_team_help,en,walk me through adding players to {team},imperative
create_team_help-en-06,create_team_help,en,is it possible to rename {team} after creating it,question
create_team_help-en-07,create_team_help,en,i want to set up a {sport} team with {count} friends,multi_slot;numeric
create_team_help-en-08,create_team_help,en,how do i join a team someone else already made,question
create_team_help-mix-01,create_team_help,mix,team create karne ka process kya hai {polite},code_switch;question
create_team_help-mix-02,create_team_help,mix,captain change kar sakte hain ya jisne team banai wo hi rahega,code_switch;question;run_on
create_team_help-mix-03,create_team_help,mix,roster me {count} se zyada players add kar sakte hain kya,code_switch;numeric;question
create_team_help-mix-04,create_team_help,mix,"team setup me help chahiye, steps batao {polite}",code_switch;imperative;politeness
create_team_help-mix-05,create_team_help,mix,team delete ya leave karna ho to kaise karte hain,code_switch;question
create_team_help-ru-01,create_team_help,ru,team kaise banate hain is app me,question
create_team_help-ru-02,create_team_help,ru,invite link kahan se milega {polite},question;politeness
create_team_help-ru-03,create_team_help,ru,{count} bando se team ban jati hai kya,numeric;question
create_team_help-ru-04,create_team_help,ru,captain kisi aur ko bana sakte hain ya nahi,question;negation
create_team_help-ru-05,create_team_help,ru,nai team banani hai {count} logon ki,numeric
create_team_help-ru-06,create_team_help,ru,team ka naam badal sakte hain baad me {polite},question;politeness
create_team_help-ru-07,create_team_help,ru,doston ko team me add kaise karun,question
create_team_help-ru-08,create_team_help,ru,{opener} team banane ka tarika,short;ellipsis
create_team_help-ru-09,create_team_help,ru,kisi ki team me shamil hone ke liye kya karna hoga,question
find_opponents-en-01,find_opponents,en,find {team} an opponent for {date} {polite},imperative;multi_slot;politeness
find_opponents-en-02,find_opponents,en,is there any {sport} team free {date} {time},question;multi_slot
find_opponents-en-03,find_opponents,en,we need a team to play a {sport} match {date},multi_slot
find_opponents-en-04,find_opponents,en,looking for a friendly against a team around our rating,plain
find_opponents-en-05,find_opponents,en,match us with a team in {area} {polite},imperative;politeness
find_opponents-en-06,find_opponents,en,any {sport} match {date},short;ellipsis;multi_slot
find_opponents-en-07,find_opponents,en,who can we play against {date} in {city},question;multi_slot
find_opponents-mix-01,find_opponents,mix,{date} ke liye koi opponent team available hai,code_switch;question
find_opponents-mix-02,find_opponents,mix,koi team hai jo hamare saath {sport} khele {date},code_switch;question;multi_slot
find_opponents-mix-03,find_opponents,mix,{team} ke liye friendly match arrange karwa do {polite},code_switch;imperative;politeness
find_opponents-mix-04,find_opponents,mix,{area} ki koi decent team hai jo {sport} khelti ho,code_switch;multi_slot;question
find_opponents-ru-01,find_opponents,ru,koi team milegi {date} khelne ke liye,question
find_opponents-ru-02,find_opponents,ru,{sport} ke match ke liye koi team chahiye {date},multi_slot
find_opponents-ru-03,find_opponents,ru,hamare liye koi opponent dhoondo {polite},imperative;politeness
find_opponents-ru-04,find_opponents,ru,{date} {time} match khelna hai kisi ke saath,multi_slot
find_opponents-ru-05,find_opponents,ru,{area} me koi {sport} ki team hai jo match khelay,question;multi_slot
find_opponents-ru-06,find_opponents,ru,{opener} koi team taiyar hai match ke liye,question;short
find_opponents-ru-07,find_opponents,ru,hamare barabar ki kisi team se match lagwa do,imperative;slang
find_venue-en-01,find_venue,en,show me {sport} {venue_word} options in {area} {polite},imperative;multi_slot
find_venue-en-02,find_venue,en,where can i play {sport} in {city} {polite},question
find_venue-en-03,find_venue,en,{opener} looking for {sport} {venue_word} in {area} something {budget},multi_slot;run_on
find_venue-en-04,find_venue,en,any {sport} {venue_word} close to {area},ellipsis;short;question
find_venue-en-05,find_venue,en,i need {sport} {venue_word} with {amenity} in {area},plain;multi_slot
find_venue-en-06,find_venue,en,we want to play {sport} {date} which {venue_word} do you suggest,run_on;multi_slot;boundary
find_venue-en-07,find_venue,en,what are my options for {sport} in {area} {polite},question
find_venue-mix-01,find_venue,mix,{opener} koi decent {sport} {venue_word} suggest karo {area} me,code_switch;imperative
find_venue-mix-02,find_venue,mix,any {sport} {venue_word} {area} ke around jo {budget} ho,code_switch;multi_slot;run_on
find_venue-mix-03,find_venue,mix,{city} me best {sport} {venue_word} kaunsa hai {polite},code_switch;question
find_venue-mix-04,find_venue,mix,{date} {sport} khelna hai koi good {venue_word} in {area},code_switch;multi_slot
find_venue-ru-01,find_venue,ru,{date} {area} me koi {sport} {venue_word} hai {polite},question;multi_slot
